model_name,n_clusters,n_outliers,n_samples,silhouette_score,davies_bouldin_score,calinski_harabasz_score,inertia,cluster_distribution
K-Means,8,0,247,0.22378329238260586,1.354968721167596,35.863110797039205,2288.8395559218075,"{0: 103, 1: 15, 2: 71, 3: 19, 4: 5, 5: 3, 6: 21, 7: 10}"
DBSCAN,2,164,247,0.493219076954238,0.8002863213549102,115.1076432170463,,"{0: 42, 1: 41}"
Hierarchical,8,0,247,0.22015688071418812,1.4932973777688616,33.11323918087519,,"{0: 25, 1: 114, 2: 34, 3: 10, 4: 10, 5: 3, 6: 5, 7: 46}"
